name	type	country	administered_by	location	year_est	year_closed	display_year_est	display_year_closed	status	notes	auto_tooltip	lat	lon	size
LarsenInlet		Tourism			2021	2022						-64.25	-59.28	85
PossessionIsland		Tourism			2021	2022						-71.52	-171.12	84
LionSound		Tourism			2021	2022						-64.4	-63.9	83
GalindezIsland		Tourism			2021	2022						-65.15	-64.15	80
LiegeIsland		Tourism			2021	2022						-64.2	-61.55	71
GirardBay		Tourism			2021	2022						-65.8	-64	70
TrinityIsland		Tourism			2021	2022						-54	-38.1	63
HarryIsland		Tourism			2021	2022						-64.8	-61.59	58
CapeRoyds		Tourism			2021	2022						-77.32	-166.8	57
KayakBay		Tourism			2021	2022						-64.18	-62.13	57
BeethovenPeninsula		Tourism			2021	2022						-71.43	-73.4	52
FalseIslandPoint		Tourism			2021	2022						-63.55	-57.2	52
CollinsBay		Tourism			2021	2022						-65.21	-64.4	50
BallenyIslands		Tourism			2021	2022						-66.55	163.2	44
CapeAdare		Tourism			2021	2022						-71.17	170.14	44
CapeCrozier		Tourism			2021	2022						-77.31	169.24	44
CapeHallett		Tourism			2021	2022						-72.19	170.16	44
CoulmanIsland		Tourism			2021	2022						-73.28	169.45	44
FranklinIsland		Tourism			2021	2022						-76.5	168.19	44
HutPoint		Tourism			2021	2022						-77.5	166.38	44
PotterCove		Tourism			2021	2022						-62.14	-58.42	42
StygianCove		Tourism			2021	2022						-60.4	-45.36	42
WaterboatPoint/GonzalezVidelaStation		Tourism			2021	2022						-64.49	-62.51	41
BeascocheaBay		Tourism			2021	2022						-65.3	-64	40
CapeEvans		Tourism			2021	2022						-77.38	166.24	39
HovgaardIsland		Tourism			2021	2022						-65.8	-64.8	39
RongeIsland/GeorgesPoint		Tourism			2021	2022						-64.43	-62.41	33
RongeIsland/KerrPoint		Tourism			2021	2022						-64.42	-62.37	33
RongeIslandKetleyPoint		Tourism			2021	2022						-64.42	-62.46	33
GrandidierChannel		Tourism			2021	2022						-65.35	-64.45	22
BiscoeBay		Tourism			2021	2022						-64.48	-63.49	19
MurrayHarbour		Tourism			2021	2022						-64.21	-61.34	19
BlaiklockIsland		Tourism			2021	2022						-67.33	-67.4	16
TwoHummockIsland		Tourism			2021	2022						-64.8	-61.42	15
BorgenBay		Tourism			2021	2022						-64.45	-63.3	14
ArthurHarbor		Tourism			2021	2022						-64.46	-64.4	12
CapeTuxen		Tourism			2021	2022						-65.16	-64.8	10
BrabantIsland		Tourism			2021	2022						-64.15	-62.2	9
DoumerIsland		Tourism			2021	2022						-64.51	-63.35	8
SpigotPeak		Tourism			2021	2022						-64.38	-62.34	8
MartelInlet		Tourism			2021	2022						-62.5	-58.22	5
NansenIsland		Tourism			2021	2022						-64.35	-62.6	5
SkottsbergPoint		Tourism			2021	2022						-63.55	-60.49	5
WinterIsland		Tourism			2021	2022						-65.15	-64.16	5
NelsonIsland		Tourism			2021	2022						-62.18	-59.3	1
NekoHarbor		Tourism			2019	2020						-64.5	-62.33	36840
LemaireChannel		Tourism			2019	2020						-65.4	-63.57	34097
CuvervilleIsland		Tourism			2019	2020						-64.41	-62.38	32629
HalfMoonIsland-ChinstrapColony		Tourism			2019	2020						-62.36	-59.55	28381
GerlacheStrait		Tourism			2019	2020						-64.3	-62.2	27873
ParadiseHarbor		Tourism			2019	2020						-64.51	-62.54	26638
DancoIsland		Tourism			2019	2020						-64.44	-62.37	26186
NeumayerChannel		Tourism			2019	2020						-64.47	-63.3	25030
WhalersBay		Tourism			2019	2020						-62.59	-60.34	23199
PortalPoint		Tourism			2019	2020						-64.3	-61.46	21922
PetermannIsland		Tourism			2019	2020						-65.1	-64.1	18119
BrownBluff		Tourism			2019	2020						-63.32	-56.55	17216
GoudierIsland		Tourism			2019	2020						-64.5	-63.3	17012
WilhelminaBay		Tourism			2019	2020						-64.38	-62.1	15065
CharlotteBay		Tourism			2019	2020						-64.33	-61.39	14877
DamoyPoint/DorianBay		Tourism			2019	2020						-64.49	-63.32	14864
WaterboatPoint/GonzalezVidelaStation		Tourism			2019	2020						-64.49	-62.51	14643
DeceptionIsland		Tourism			2019	2020						-62.57	-60.38	14605
OrneHarbor		Tourism			2019	2020						-64.37	-62.32	14449
ElephantIsland		Tourism			2019	2020						-61.1	-55.14	14151
MikkelsenHarbor(D'Hainaut)		Tourism			2019	2020						-63.54	-60.47	14088
BransfieldStrait		Tourism			2019	2020						-63	-59	13688
CiervaCove		Tourism			2019	2020						-64.9	-60.53	13006
AdmiraltyBay		Tourism			2019	2020						-62.1	-58.25	12970
PortCharcot		Tourism			2019	2020						-65.4	-64	11792
AntarcticSound		Tourism			2019	2020						-63.2	-56.45	11722
DallmannBay		Tourism			2019	2020						-64.2	-62.55	11068
YankeeHarbor		Tourism			2019	2020						-62.32	-59.47	10686
PleneauIsland		Tourism			2019	2020						-65.6	-64.4	10407
ErreraChannel		Tourism			2019	2020						-64.42	-62.36	10124
JouglaPoint		Tourism			2019	2020						-64.49	-63.3	9399
TelefonBay		Tourism			2019	2020						-62.56	-60.4	9358
PauletIsland		Tourism			2019	2020						-63.35	-55.47	8978
EnterpriseIsland		Tourism			2019	2020						-64.32	-62	8321
MelchiorIslands		Tourism			2019	2020						-64.19	-62.57	8233
PointWild		Tourism			2019	2020						-61.6	-54.52	8196
SkontorpCove		Tourism			2019	2020						-64.54	-62.52	7992
VernadskyStation		Tourism			2019	2020						-65.14	-64.15	7671
PendulumCove		Tourism			2019	2020						-62.56	-60.36	7511
FreiStation		Tourism			2019	2020						-62.12	-58.57	7072
AitchoIslands-BarrientosIsland		Tourism			2019	2020						-62.24	-59.47	7044
WeddellSea		Tourism			2019	2020						-72	-45	6930
UsefulIsland		Tourism			2019	2020						-64.43	-62.52	6042
SchollaertChannel		Tourism			2019	2020						-64.18	-62.3	5894
HopeBay		Tourism			2019	2020						-63.23	-57	5601
CrokerPassage		Tourism			2019	2020						-64	-61.42	4389
OrcadasStation		Tourism			2019	2020						-60.44	-44.44	4294
DetailleIsland		Tourism			2019	2020						-66.52	-66.48	4219
YalourIslands		Tourism			2019	2020						-65.14	-64.1	4171
SpertIsland		Tourism			2019	2020						-63.51	-60.57	4139
ArctowskiStation		Tourism			2019	2020						-62.9	-58.28	4063
BismarckStrait		Tourism			2019	2020						-64.51	-64	3919
AndvordBay		Tourism			2019	2020						-64.5	-62.39	3901
FoynHarbor		Tourism			2019	2020						-64.33	-62.1	3788
HydrurgaRocks		Tourism			2019	2020						-64.8	-61.37	3719
ElephantPoint		Tourism			2019	2020						-62.41	-60.52	3697
PalmerStation		Tourism			2019	2020						-64.46	-64.5	3598
FournierBay		Tourism			2019	2020						-64.31	-63.6	3499
StoningtonIsland		Tourism			2019	2020						-68.11	-67	3329
RobertPoint		Tourism			2019	2020						-62.28	-59.23	3284
HiddenBay		Tourism			2019	2020						-65.2	-63.46	3093
OrneIslands		Tourism			2019	2020						-64.4	-62.4	3014
NeptunesBellows		Tourism			2019	2020						-63	-60.34	3011
BailyHead		Tourism			2019	2020						-62.58	-60.29	2981
FortPoint		Tourism			2019	2020						-62.34	-59.34	2946
WalkerBay(byHannahPoint)		Tourism			2019	2020						-62.38	-60.42	2762
HorseshoeIsland		Tourism			2019	2020						-67.51	-67.12	2699
DevilIsland		Tourism			2019	2020						-63.48	-57.17	2640
CrystalSound		Tourism			2019	2020						-66.23	-66.3	2626
AstrolabeIsland		Tourism			2019	2020						-63.17	-58.4	2624
GrahamPassage		Tourism			2019	2020						-64.24	-61.31	2610
FridtjofSound		Tourism			2019	2020						-63.34	-56.43	2376
ChiriguanoBay		Tourism			2019	2020						-64.28	-62.31	2346
FishIslands		Tourism			2019	2020						-66.2	-65.25	2332
PenolaStrait		Tourism			2019	2020						-65.1	-64.7	2297
PalaverPoint		Tourism			2019	2020						-64.9	-61.45	2207
HanusseBay		Tourism			2019	2020						-66.57	-67.3	2201
TheGullet		Tourism			2019	2020						-67.1	-67.38	2146
PenguinIsland		Tourism			2019	2020						-62.6	-57.54	2073
PourquoiPasIsland		Tourism			2019	2020						-67.41	-67.28	1870
GrandidierChannel		Tourism			2019	2020						-65.35	-64.45	1780
GourdinIsland		Tourism			2019	2020						-63.12	-57.18	1773
CapeLookout		Tourism			2019	2020						-61.16	-55.12	1635
JennyIsland		Tourism			2019	2020						-67.44	-68.24	1606
BongrainPoint		Tourism			2019	2020						-67.43	-67.48	1495
RedRockRidge		Tourism			2019	2020						-68.18	-67.8	1483
LeithCove		Tourism			2019	2020						-64.52	-62.5	1463
KinnesCove/MadderCliffs		Tourism			2019	2020						-63.18	-56.27	1424
FrenchPassage		Tourism			2019	2020						-65.1	-64.2	1342
BellingshausenStation		Tourism			2019	2020						-62.11	-58.57	1334
ProspectPoint		Tourism			2019	2020						-66.1	-65.21	1269
ArgentineIslandsOther		Tourism			2019	2020						-65.15	-64.16	1241
CurtissBay		Tourism			2019	2020						-64.2	-60.47	1102
ButlerPassage		Tourism			2019	2020						-64.58	-63.44	1098
McFarlaneStrait		Tourism			2019	2020						-62.32	-59.55	1094
DangerIslands		Tourism			2019	2020						-63.25	-54.4	1056
HannahPoint		Tourism			2019	2020						-62.39	-60.37	1050
ErebusandTerrorGulf		Tourism			2019	2020						-63.55	-56.4	1033
PortFoster		Tourism			2019	2020						-62.57	-60.39	1011
LindbladCove		Tourism			2019	2020						-63.51	-59.27	1007
StonyPoint		Tourism			2019	2020						-64.54	-62.55	1002
MaxwellBay,KingGeorgeIsland		Tourism			2019	2020						-62.15	-58.51	955
MargueriteBay		Tourism			2019	2020						-68.3	-68.3	922
CockburnIsland		Tourism			2019	2020						-64.12	-56.51	901
TurretPoint		Tourism			2019	2020						-62.5	-57.55	785
PresidentHead		Tourism			2019	2020						-62.44	-61.12	754
HeroinaIsland		Tourism			2019	2020						-63.24	-54.36	665
FalseBay		Tourism			2019	2020						-62.43	-60.22	600
HovgaardIsland		Tourism			2019	2020						-65.8	-64.8	587
ShingleCove		Tourism			2019	2020						-60.39	-45.34	586
FergusonChannel		Tourism			2019	2020						-64.54	-62.59	575
PeltierChannel		Tourism			2019	2020						-64.52	-63.32	568
AguirrePassage		Tourism			2019	2020						-64.29	-62.3	565
CapeEvans		Tourism			2019	2020						-77.38	166.24	560
VortexIsland		Tourism			2019	2020						-63.44	-57.38	557
CapeAdare		Tourism			2019	2020						-71.17	170.14	548
BulsBay		Tourism			2019	2020						-64.23	-62.19	544
SnowIsland		Tourism			2019	2020						-62.47	-61.23	512
SignyIslandStation		Tourism			2019	2020						-66.55	-67.1	510
SouthOrkneyIslands		Tourism			2019	2020						-60.35	-45.3	497
D'UrvilleMonument		Tourism			2019	2020						-63.25	-56.18	491
CapeValentine		Tourism			2019	2020						-61.6	-54.39	465
EckenerPoint		Tourism			2019	2020						-64.26	-61.36	465
BerthelotIslands		Tourism			2019	2020						-65.2	-64.9	462
ActiveSound		Tourism			2019	2020						-63.25	-56.1	446
ArdleyIsland		Tourism			2019	2020						-62.13	-58.56	438
BoydStrait		Tourism			2019	2020						-62.5	-62	436
HerbertSound		Tourism			2019	2020						-63.55	-57.4	433
GirardBay		Tourism			2019	2020						-65.8	-64	420
BallenyIslands		Tourism			2019	2020						-66.55	163.2	412
LionSound		Tourism			2019	2020						-64.4	-63.9	396
GibbsIsland		Tourism			2019	2020						-61.28	-55.34	384
BourgeoisFjord		Tourism			2019	2020						-67.4	-67.5	361
WinterIsland		Tourism			2019	2020						-65.15	-64.16	357
LaurieIsland		Tourism			2019	2020						-60.44	-44.37	341
TerraFirmaIslands		Tourism			2019	2020						-68.42	-67.32	338
PeterIIsland		Tourism			2019	2020						-68.47	-90.35	327
PossessionIsland		Tourism			2019	2020						-71.52	-171.12	307
RecessCove		Tourism			2019	2020						-64.3	-61.32	300
FranklinIsland		Tourism			2019	2020						-76.5	168.19	284
McMurdoSound		Tourism			2019	2020						-77.31	165.1	278
BorgenBay		Tourism			2019	2020						-64.45	-63.3	277
RossIceShelf		Tourism			2019	2020						-81.3	-175	270
CapeRoyds		Tourism			2019	2020						-77.32	-166.8	269
HutPoint		Tourism			2019	2020						-77.5	166.38	246
RossSea		Tourism			2019	2020						-75	-175	245
CapeBird		Tourism			2019	2020						-77.9	166.42	242
RongeIsland/GeorgesPoint		Tourism			2019	2020						-64.43	-62.41	242
RongeIsland/KerrPoint		Tourism			2019	2020						-64.42	-62.37	242
RongeIslandKetleyPoint		Tourism			2019	2020						-64.42	-62.46	242
DuseBay		Tourism			2019	2020						-63.32	-57.15	241
O'HigginsStation		Tourism			2019	2020						-63.19	-57.54	236
HughesBay		Tourism			2019	2020						-128.27	-122.33	230
BayofWhales		Tourism			2019	2020						-78.3	-164.2	229
BancroftBay		Tourism			2019	2020						-64.34	-61.52	219
LivingstonIsland		Tourism			2019	2020						-62.36	-60.3	219
LallemandFjord		Tourism			2019	2020						-67.5	-66.45	214
CoronationIsland		Tourism			2019	2020						-60.37	-45.35	207
PrinceGustavChannel		Tourism			2019	2020						-63.5	-58.15	195
TaylorValley/CanadaGlacier		Tourism			2019	2020						-77.39	162.56	195
BrialmontCove		Tourism			2019	2020						-64.15	-60.58	191
MonroeIsland		Tourism			2019	2020						-60.36	-46.3	189
AndresenIsland		Tourism			2019	2020						-66.53	-66.4	181
KayakBay		Tourism			2019	2020						-64.18	-62.13	178
DuthiersPoint		Tourism			2019	2020						-64.48	-62.49	168
CoulmanIsland		Tourism			2019	2020						-73.28	169.45	155
LagarrigueCove		Tourism			2019	2020						-64.39	-62.34	150
CapeHallett		Tourism			2019	2020						-72.19	170.16	148
BrabantIsland		Tourism			2019	2020						-64.15	-62.2	143
HoldfastPoint		Tourism			2019	2020						-66.28	-66.21	141
BellingshausenSea		Tourism			2019	2020						-71	-85	129
TayHead		Tourism			2019	2020						-63.21	-55.34	128
CapeColbeck		Tourism			2019	2020						-77.7	-158.1	127
FreudPassage		Tourism			2019	2020						-64.17	-62.8	121
EdinburghHill		Tourism			2019	2020						-62.33	-60.1	120
SnowHillIsland-EmperorPenguinColony		Tourism			2019	2020						-64.3	-57.26	101
SnowHillIsland-IceEdgeLanding		Tourism			2019	2020						-64.28	-57.1	101
SnowHillIsland-Nordenskjold'sHut		Tourism			2019	2020						-64.28	-57.12	101
SpigotPeak		Tourism			2019	2020						-64.38	-62.34	101
McMurdoStation		Tourism			2019	2020						-77.5	166.4	100
TrinityIsland		Tourism			2019	2020						-54	-38.1	90
CombRidge		Tourism			2019	2020						-63.55	-57.28	83
SalvesenCove		Tourism			2019	2020						-64.24	-61.2	83
DiscoveryBay		Tourism			2019	2020						-62.29	-59.43	80
PatagoniaBay		Tourism			2019	2020						-64.27	-63.12	79
BrydeIsland		Tourism			2019	2020						-64.52	-63.2	73
VegaIsland		Tourism			2019	2020						-63.5	-57.25	61
TwoHummockIsland		Tourism			2019	2020						-64.8	-61.42	53
LemaireIsland		Tourism			2019	2020						-64.49	-62.57	49
BlaiklockIsland		Tourism			2019	2020						-67.33	-67.4	48
NansenIsland		Tourism			2019	2020						-64.35	-62.6	48
DoumerIsland		Tourism			2019	2020						-64.51	-63.35	42
PlataPassage		Tourism			2019	2020						-64.4	-62.1	41
JamesRossIsland		Tourism			2019	2020						-64.1	-57.45	39
CollinsBay		Tourism			2019	2020						-65.21	-64.4	36
FalseIslandPoint		Tourism			2019	2020						-63.55	-57.2	36
GalindezIsland		Tourism			2019	2020						-65.15	-64.15	33
TheNaze		Tourism			2019	2020						-63.57	-57.32	33
SkottsbergPoint		Tourism			2019	2020						-63.55	-60.49	32
CapeTuxen		Tourism			2019	2020						-65.16	-64.8	31
MurrayHarbour		Tourism			2019	2020						-64.21	-61.34	26
GuepratteIsland		Tourism			2019	2020						-64.3	-63	25
JabetPeak		Tourism			2019	2020						-64.49	-63.28	21
CapeHerschel		Tourism			2019	2020						-64.4	-61.2	17
PotterCove		Tourism			2019	2020						-62.14	-58.42	14
AdmiraltySound		Tourism			2019	2020						-64.2	-57.1	13
LagoonIsland		Tourism			2019	2020						-67.35	-68.16	8
SouthShetlandIslands		Tourism			2019	2020						-62	-58	8
NelsonIsland		Tourism			2019	2020						-62.18	-59.3	6
KingGeorgeBay		Tourism			2019	2020						-62.6	-58.5	5
RotheraStation		Tourism			2019	2020						-67.34	-68.7	5
NekoHarbor		Tourism			2018	2019						-64.5	-62.33	32145
CuvervilleIsland		Tourism			2018	2019						-64.41	-62.38	29416
DancoIsland		Tourism			2018	2019						-64.44	-62.37	25681
WhalersBay		Tourism			2018	2019						-62.59	-60.34	22311
GoudierIsland		Tourism			2018	2019						-64.5	-63.3	22291
HalfMoonIsland-ChinstrapColony		Tourism			2018	2019						-62.36	-59.55	21376
LemaireChannel		Tourism			2018	2019						-65.4	-63.57	16461
DamoyPoint/DorianBay		Tourism			2018	2019						-64.49	-63.32	14378
CiervaCove		Tourism			2018	2019						-64.9	-60.53	12628
SkontorpCove		Tourism			2018	2019						-64.54	-62.52	12531
TelefonBay		Tourism			2018	2019						-62.56	-60.4	12444
MikkelsenHarbor(D'Hainaut)		Tourism			2018	2019						-63.54	-60.47	11770
PortalPoint		Tourism			2018	2019						-64.3	-61.46	11545
BrownBluff		Tourism			2018	2019						-63.32	-56.55	11518
WaterboatPoint/GonzalezVidelaStation		Tourism			2018	2019						-64.49	-62.51	11037
OrneHarbor		Tourism			2018	2019						-64.37	-62.32	10753
GerlacheStrait		Tourism			2018	2019						-64.3	-62.2	9552
ParadiseHarbor		Tourism			2018	2019						-64.51	-62.54	9254
JouglaPoint		Tourism			2018	2019						-64.49	-63.3	8991
PetermannIsland		Tourism			2018	2019						-65.1	-64.1	8496
NeumayerChannel		Tourism			2018	2019						-64.47	-63.3	8469
ElephantPoint		Tourism			2018	2019						-62.41	-60.52	8458
WilhelminaBay		Tourism			2018	2019						-64.38	-62.1	8304
ErreraChannel		Tourism			2018	2019						-64.42	-62.36	8033
PortCharcot		Tourism			2018	2019						-65.4	-64	7833
PleneauIsland		Tourism			2018	2019						-65.6	-64.4	7590
FreiStation		Tourism			2018	2019						-62.12	-58.57	7568
DallmannBay		Tourism			2018	2019						-64.2	-62.55	7184
YankeeHarbor		Tourism			2018	2019						-62.32	-59.47	7047
EnterpriseIsland		Tourism			2018	2019						-64.32	-62	6867
AitchoIslands-BarrientosIsland		Tourism			2018	2019						-62.24	-59.47	6789
VernadskyStation		Tourism			2018	2019						-65.14	-64.15	6021
MelchiorIslands		Tourism			2018	2019						-64.19	-62.57	5564
BransfieldStrait		Tourism			2018	2019						-63	-59	5010
PauletIsland		Tourism			2018	2019						-63.35	-55.47	4819
PointWild		Tourism			2018	2019						-61.6	-54.52	4804
AntarcticSound		Tourism			2018	2019						-63.2	-56.45	4176
UsefulIsland		Tourism			2018	2019						-64.43	-62.52	3807
BailyHead		Tourism			2018	2019						-62.58	-60.29	3795
HopeBay		Tourism			2018	2019						-63.23	-57	2979
SnowHillIsland-EmperorPenguinColony		Tourism			2018	2019						-64.3	-57.26	2938
SnowHillIsland-IceEdgeLanding		Tourism			2018	2019						-64.28	-57.1	2938
SnowHillIsland-Nordenskjold'sHut		Tourism			2018	2019						-64.28	-57.12	2938
CharlotteBay		Tourism			2018	2019						-64.33	-61.39	2867
ArctowskiStation		Tourism			2018	2019						-62.9	-58.28	2857
FoynHarbor		Tourism			2018	2019						-64.33	-62.1	2801
NeptunesBellows		Tourism			2018	2019						-63	-60.34	2583
SpertIsland		Tourism			2018	2019						-63.51	-60.57	2508
FournierBay		Tourism			2018	2019						-64.31	-63.6	2464
HydrurgaRocks		Tourism			2018	2019						-64.8	-61.37	2375
PalmerStation		Tourism			2018	2019						-64.46	-64.5	2361
FortPoint		Tourism			2018	2019						-62.34	-59.34	2285
OrcadasStation		Tourism			2018	2019						-60.44	-44.44	2265
RobertPoint		Tourism			2018	2019						-62.28	-59.23	2189
CrystalSound		Tourism			2018	2019						-66.23	-66.3	2185
GourdinIsland		Tourism			2018	2019						-63.12	-57.18	2058
BellingshausenStation		Tourism			2018	2019						-62.11	-58.57	1887
WalkerBay(byHannahPoint)		Tourism			2018	2019						-62.38	-60.42	1887
PortFoster		Tourism			2018	2019						-62.57	-60.39	1795
HannahPoint		Tourism			2018	2019						-62.39	-60.37	1773
KinnesCove/MadderCliffs		Tourism			2018	2019						-63.18	-56.27	1660
PendulumCove		Tourism			2018	2019						-62.56	-60.36	1539
PenguinIsland		Tourism			2018	2019						-62.6	-57.54	1521
StoningtonIsland		Tourism			2018	2019						-68.11	-67	1517
LeithCove		Tourism			2018	2019						-64.52	-62.5	1473
WeddellSea		Tourism			2018	2019						-72	-45	1371
RongeIsland/GeorgesPoint		Tourism			2018	2019						-64.43	-62.41	1367
RongeIsland/KerrPoint		Tourism			2018	2019						-64.42	-62.37	1367
RongeIslandKetleyPoint		Tourism			2018	2019						-64.42	-62.46	1367
PalaverPoint		Tourism			2018	2019						-64.9	-61.45	1330
StonyPoint		Tourism			2018	2019						-64.54	-62.55	1322
HiddenBay		Tourism			2018	2019						-65.2	-63.46	1283
PenolaStrait		Tourism			2018	2019						-65.1	-64.7	1214
DetailleIsland		Tourism			2018	2019						-66.52	-66.48	1197
GrahamPassage		Tourism			2018	2019						-64.24	-61.31	1175
LindbladCove		Tourism			2018	2019						-63.51	-59.27	1153
HorseshoeIsland		Tourism			2018	2019						-67.51	-67.12	1141
DevilIsland		Tourism			2018	2019						-63.48	-57.17	1123
FergusonChannel		Tourism			2018	2019						-64.54	-62.59	1100
AndvordBay		Tourism			2018	2019						-64.5	-62.39	1094
AguirrePassage		Tourism			2018	2019						-64.29	-62.3	1093
CapeLookout		Tourism			2018	2019						-61.16	-55.12	1024
OrneIslands		Tourism			2018	2019						-64.4	-62.4	992
RedRockRidge		Tourism			2018	2019						-68.18	-67.8	982
TurretPoint		Tourism			2018	2019						-62.5	-57.55	928
AstrolabeIsland		Tourism			2018	2019						-63.17	-58.4	906
MaxwellBay,KingGeorgeIsland		Tourism			2018	2019						-62.15	-58.51	875
PeltierChannel		Tourism			2018	2019						-64.52	-63.32	803
BoydStrait		Tourism			2018	2019						-62.5	-62	785
ChiriguanoBay		Tourism			2018	2019						-64.28	-62.31	737
YalourIslands		Tourism			2018	2019						-65.14	-64.1	706
FreudPassage		Tourism			2018	2019						-64.17	-62.8	672
FridtjofSound		Tourism			2018	2019						-63.34	-56.43	663
PlataPassage		Tourism			2018	2019						-64.4	-62.1	662
ArdleyIsland		Tourism			2018	2019						-62.13	-58.56	643
O'HigginsStation		Tourism			2018	2019						-63.19	-57.54	642
PourquoiPasIsland		Tourism			2018	2019						-67.41	-67.28	620
HeroinaIsland		Tourism			2018	2019						-63.24	-54.36	618
LaurieIsland		Tourism			2018	2019						-60.44	-44.37	559
HerbertSound		Tourism			2018	2019						-63.55	-57.4	534
FrenchPassage		Tourism			2018	2019						-65.1	-64.2	532
FishIslands		Tourism			2018	2019						-66.2	-65.25	516
AdmiraltyBay		Tourism			2018	2019						-62.1	-58.25	509
NansenIsland		Tourism			2018	2019						-64.35	-62.6	481
SnowIsland		Tourism			2018	2019						-62.47	-61.23	461
BennettIslands		Tourism			2018	2019						-66.56	-67.4	433
AdmiraltySound		Tourism			2018	2019						-64.2	-57.1	413
ErebusandTerrorGulf		Tourism			2018	2019						-63.55	-56.4	400
SchollaertChannel		Tourism			2018	2019						-64.18	-62.3	398
MargueriteBay		Tourism			2018	2019						-68.3	-68.3	396
NelsonIsland		Tourism			2018	2019						-62.18	-59.3	388
BismarckStrait		Tourism			2018	2019						-64.51	-64	382
NenyFjord		Tourism			2018	2019						-68.16	-66.49	382
D'UrvilleMonument		Tourism			2018	2019						-63.25	-56.18	376
DangerIslands		Tourism			2018	2019						-63.25	-54.4	375
GibbsIsland		Tourism			2018	2019						-61.28	-55.34	345
BorgenBay		Tourism			2018	2019						-64.45	-63.3	340
DuseBay		Tourism			2018	2019						-63.32	-57.15	338
BongrainPoint		Tourism			2018	2019						-67.43	-67.48	300
VegaIsland		Tourism			2018	2019						-63.5	-57.25	295
FalseBay		Tourism			2018	2019						-62.43	-60.22	294
ActiveSound		Tourism			2018	2019						-63.25	-56.1	293
CockburnIsland		Tourism			2018	2019						-64.12	-56.51	288
LivingstonIsland		Tourism			2018	2019						-62.36	-60.3	282
HanusseBay		Tourism			2018	2019						-66.57	-67.3	249
CurtissBay		Tourism			2018	2019						-64.2	-60.47	247
ShingleCove		Tourism			2018	2019						-60.39	-45.34	240
WinterIsland		Tourism			2018	2019						-65.15	-64.16	239
KayakBay		Tourism			2018	2019						-64.18	-62.13	212
RossSea		Tourism			2018	2019						-75	-175	196
SouthShetlandIslands		Tourism			2018	2019						-62	-58	182
CapeValentine		Tourism			2018	2019						-61.6	-54.39	176
LionSound		Tourism			2018	2019						-64.4	-63.9	175
GirardBay		Tourism			2018	2019						-65.8	-64	171
ButlerPassage		Tourism			2018	2019						-64.58	-63.44	166
PatagoniaBay		Tourism			2018	2019						-64.27	-63.12	152
RotheraStation		Tourism			2018	2019						-67.34	-68.7	142
GrandidierChannel		Tourism			2018	2019						-65.35	-64.45	131
TwoHummockIsland		Tourism			2018	2019						-64.8	-61.42	131
MonroeIsland		Tourism			2018	2019						-60.36	-46.3	126
CapeEvans		Tourism			2018	2019						-77.38	166.24	120
HughesBay		Tourism			2018	2019						-128.27	-122.33	120
DiscoveryBay		Tourism			2018	2019						-62.29	-59.43	119
BerthelotIslands		Tourism			2018	2019						-65.2	-64.9	116
SouthOrkneyIslands		Tourism			2018	2019						-60.35	-45.3	115
TheGullet		Tourism			2018	2019						-67.1	-67.38	112
CoronationIsland		Tourism			2018	2019						-60.37	-45.35	101
DoumerIsland		Tourism			2018	2019						-64.51	-63.35	99
RecessCove		Tourism			2018	2019						-64.3	-61.32	99
SandefjordBay		Tourism			2018	2019						-60.37	-46.3	99
CapeAdare		Tourism			2018	2019						-71.17	170.14	98
RossIceShelf		Tourism			2018	2019						-81.3	-175	98
CapeRoyds		Tourism			2018	2019						-77.32	-166.8	95
JennyIsland		Tourism			2018	2019						-67.44	-68.24	93
HovgaardIsland		Tourism			2018	2019						-65.8	-64.8	92
EnglishStrait		Tourism			2018	2019						-62.27	-59.38	91
SanMartinStation		Tourism			2018	2019						-68.7	-67.6	91
BancroftBay		Tourism			2018	2019						-64.34	-61.52	90
McFarlaneStrait		Tourism			2018	2019						-62.32	-59.55	90
LallemandFjord		Tourism			2018	2019						-67.5	-66.45	83
LemaireIsland		Tourism			2018	2019						-64.49	-62.57	76
SkottsbergPoint		Tourism			2018	2019						-63.55	-60.49	76
AndresenIsland		Tourism			2018	2019						-66.53	-66.4	75
GalindezIsland		Tourism			2018	2019						-65.15	-64.15	71
TayHead		Tourism			2018	2019						-63.21	-55.34	67
PotterCove		Tourism			2018	2019						-62.14	-58.42	55
BallenyIslands		Tourism			2018	2019						-66.55	163.2	49
CapeBird		Tourism			2018	2019						-77.9	166.42	49
McMurdoStation		Tourism			2018	2019						-77.5	166.4	49
ArgentineIslandsOther		Tourism			2018	2019						-65.15	-64.16	48
HutPoint		Tourism			2018	2019						-77.5	166.38	46
CollinsBay		Tourism			2018	2019						-65.21	-64.4	40
McMurdoSound		Tourism			2018	2019						-77.31	165.1	40
EdinburghHill		Tourism			2018	2019						-62.33	-60.1	38
FranklinIsland		Tourism			2018	2019						-76.5	168.19	37
SignyIslandStation		Tourism			2018	2019						-66.55	-67.1	37
FalseIslandPoint		Tourism			2018	2019						-63.55	-57.2	35
TrinityIsland		Tourism			2018	2019						-54	-38.1	35
DuthiersPoint		Tourism			2018	2019						-64.48	-62.49	22
BrabantIsland		Tourism			2018	2019						-64.15	-62.2	20
SalvesenCove		Tourism			2018	2019						-64.24	-61.2	16
SpigotPeak		Tourism			2018	2019						-64.38	-62.34	16
ProspectPoint		Tourism			2018	2019						-66.1	-65.21	14
